prompt,answer,rouge1,rouge2,rougeL
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
" In 2000 Boulter had a guest @-@ starring role on the television series The Bill ; he portrayed "" Scott Parry "" in the episode , "" In Safe Hands "" . Boulter starred as "" Scott "" in the play Herons written by Simon Stephens , which was performed in 2001 at the Royal Court Theatre . A review of Boulter 's performance in The Independent on Sunday described him as "" horribly menacing "" in the role , and he received critical reviews in The Herald , and Evening Standard . He appeared in the television series Judge John Deed in 2002 as "" Addem Armitage "" in the episode "" Political Expediency "" , and had a role as a different character "" Toby Steele "" on The Bill . 
","In 2000 Boulter had a guest @-@ starring role on the television series The Bill. He portrayed "" Scott Parry "" in the episode "" In Safe Hands "" In 2001 he starred in the play Herons written by Simon Stephens at the Royal Court Theatre. He received critical reviews for his performance in the role.",0.6163522012578616,0.5222929936305732,0.5660377358490566
" He had a recurring role in 2003 on two episodes of The Bill , as character "" Connor Price "" . In 2004 Boulter landed a role as "" Craig "" in the episode "" Teddy 's Story "" of the television series The Long Firm ; he starred alongside actors Mark Strong and Derek Jacobi . Boulter starred as "" Darren "" , in the 2005 theatre productions of the Philip Ridley play Mercury Fur . It was performed at the Drum Theatre in Plymouth , and the Menier Chocolate Factory in London . He was directed by John Tiffany and starred alongside Ben Whishaw , Shane Zaza , Harry Kent , Fraser Ayres , Sophie Stanton and Dominic Hall . Boulter received a favorable review in The Daily Telegraph : "" The acting is shatteringly intense , with wired performances from Ben Whishaw ( now unrecognisable from his performance as Trevor Nunn 's Hamlet ) , Robert Boulter , Shane Zaza and Fraser Ayres . "" The Guardian noted , "" Ben Whishaw and Robert Boulter offer tenderness amid the savagery . "" 
","Boulter starred as "" Darren "" in the 2005 theatre productions of the Philip Ridley play Mercury Fur. He had a recurring role in 2003 on two episodes of The Bill, as character "" Connor Price "" In 2004 Boulter landed a role as "" Craig "" in an episode of The Long Firm.",0.4723618090452261,0.4365482233502538,0.3115577889447236
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
" = = = 2006 – present = = = 
",CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Visit CNN.com/Travel each week for a new gallery of snapshots. Please submit your best shots of the U.S. for next week's gallery. Click here for the gallery.,0.0,0.0,0.0
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
" In 2006 Boulter starred in the play Citizenship written by Mark Ravenhill . The play was part of a series which featured different playwrights , titled Burn / Chatroom / Citizenship . In a 2006 interview , fellow actor Ben Whishaw identified Boulter as one of his favorite co @-@ stars : "" I loved working with a guy called Robert Boulter , who was in the triple bill of Burn , Chatroom and Citizenship at the National . He played my brother in Mercury Fur . "" He portrayed "" Jason Tyler "" on the 2006 episode of the television series , Doctors , titled "" Something I Ate "" . Boulter starred as "" William "" in the 2007 production of How to Curse directed by Josie Rourke . How to Curse was performed at Bush Theatre in the London Borough of Hammersmith and Fulham . In a review of the production for The Daily Telegraph , theatre critic Charles Spencer noted , "" Robert Boulter brings a touching vulnerability to the stage as William . "" 
","In 2006 Boulter starred in the play Citizenship written by Mark Ravenhill. The play was part of a series which featured different playwrights, titled Burn / Chatroom / Citizenship. In a 2006 interview Ben Whishaw identified Boulters as one of his favorite co @-@ stars.",0.43979057591623033,0.4232804232804233,0.43979057591623033
" Boulter starred in two films in 2008 , Daylight Robbery by filmmaker Paris Leonti , and Donkey Punch directed by Olly Blackburn . Boulter portrayed a character named "" Sean "" in Donkey Punch , who tags along with character "" Josh "" as the "" quiet brother ... who hits it off with Tammi "" . Boulter guest starred on a two @-@ part episode arc "" Wounds "" in May 2008 of the television series Waking the Dead as character "" Jimmy Dearden "" . He appeared on the television series Survivors as "" Neil "" in November 2008 . He had a recurring role in ten episodes of the television series Casualty in 2010 , as "" Kieron Fletcher "" . He portrayed an emergency physician applying for a medical fellowship . He commented on the inherent difficulties in portraying a physician on television : "" Playing a doctor is a strange experience . Pretending you know what you 're talking about when you don 't is very bizarre but there are advisers on set who are fantastic at taking you through procedures and giving you the confidence to stand there and look like you know what you 're doing . "" Boulter starred in the 2011 film Mercenaries directed by Paris Leonti . 
","Boulter starred in two films in 2008, Daylight Robbery by filmmaker Paris Leonti and Donkey Punch directed by Olly Blackburn. Boulter guest starred on a two @-@ part episode arc "" Wounds "" in May 2008 of the television series Waking the Dead as character "" Sean""",0.37719298245614036,0.36283185840707965,0.368421052631579
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
" = = Filmography = = 
"," = = Filmography = =  Filmography. = = Directorial credits = = Best Director. Best Actress. Best Screenplay. Best Picture. Best Director, Best Picture, Best Actress, Best Director and Best Picture nominations. Worst Director, Worst Picture, Worst Director.",0.06451612903225806,0.0,0.06451612903225806
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
" = = = Film = = = 
", = = = Film = == = =                      “The Godfather’s” final actors and actresses’ tongue-in-cheek’.,0.16666666666666669,0.0,0.16666666666666669
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
" = = = Television = = = 
"," = = = Television = == = =    TV is the most watched channel in the U.S. and is the No. 1 show in the world. It is followed by CBS, which has the most viewers in the United States and No. 2 in Europe.",0.05,0.0,0.05
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
" = = = Theatre = = = 
","Theatre. = = = Theatre = =   Theatre. == = Theatre.= = = Theater.== Theatre. Means Theatre, not Theatre, as the name implies. Theatre. means Theatre, but as the title suggests, it means Theatre. Theatre. means theatre, not theatre.",0.06451612903225806,0.0,0.06451612903225806
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
" = Du Fu = 
"," = Du Fu =  Du Fu. = Dufu =  Fu, or Du Fu, is a Chinese word for ""brother"" or ""sister"" in Chinese. Du Fu means ""father"" and ""mother"" in the Chinese language. Dufu means father and mother in Chinese, or father and son.",0.09523809523809523,0.05,0.09523809523809523
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
" Du Fu ( Wade – Giles : Tu Fu ; Chinese : 杜甫 ; 712 – 770 ) was a prominent Chinese poet of the Tang dynasty . Along with Li Bai ( Li Po ) , he is frequently called the greatest of the Chinese poets . His greatest ambition was to serve his country as a successful civil servant , but he proved unable to make the necessary accommodations . His life , like the whole country , was devastated by the An Lushan Rebellion of 755 , and his last 15 years were a time of almost constant unrest . 
","Du Fu ( Wade – Giles : Tu Fu ; Chinese : 杜甫 ; 712 – 770 ) was a prominent Chinese poet of the Tang dynasty. Along with Li Bai ( Li Po ), he is frequently called the greatest of the Chinese poets. His greatest ambition was to serve his country as a successful civil servant, but he proved unable to make the necessary accommodations.",0.8057553956834532,0.8029197080291971,0.8057553956834532
" Although initially he was little @-@ known to other writers , his works came to be hugely influential in both Chinese and Japanese literary culture . Of his poetic writing , nearly fifteen hundred poems have been preserved over the ages . He has been called the "" Poet @-@ Historian "" and the "" Poet @-@ Sage "" by Chinese critics , while the range of his work has allowed him to be introduced to Western readers as "" the Chinese Virgil , Horace , Ovid , Shakespeare , Milton , Burns , Wordsworth , Béranger , Hugo or Baudelaire "" . 
","Nearly fifteen hundred poems have been preserved over the ages. Although initially he was little @-@ known to other writers, his works came to be hugely influential in both Chinese and Japanese literary culture. He has been called the "" Poet @- @ Historian "" by Chinese critics. His work has allowed him to be introduced to Western readers as "" the Chinese Virgil, Horace, O""",0.8368794326241135,0.7769784172661871,0.6950354609929078
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
" = = Life = = 
"," = = Life = =    =  = = = life. = = Death = = death. Life =  life. Death =  death. Death. Life. = Death. = Life. Death, Death, Life. Life, Life, Death.",0.10526315789473684,0.0,0.10526315789473684
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
" Traditional Chinese literary criticism emphasized the life of the author when interpreting a work , a practice which Burton Watson attributes to "" the close links that traditional Chinese thought posits between art and morality "" . Since many of Du Fu 's poems feature morality and history , this practice is particularly important . Another reason , identified by the Chinese historian William Hung , is that Chinese poems are typically concise , omitting context that might be relevant , but which an informed contemporary could be assumed to know . For modern Western readers , "" The less accurately we know the time , the place and the circumstances in the background , the more liable we are to imagine it incorrectly , and the result will be that we either misunderstand the poem or fail to understand it altogether "" . Stephen Owen suggests a third factor particular to Du Fu , arguing that the variety of the poet 's work required consideration of his whole life , rather than the "" reductive "" categorizations used for more limited poets . 
","Traditional Chinese literary criticism emphasized the life of the author when interpreting a work. Since many of Du Fu's poems feature morality and history, this practice is particularly important. Chinese poems are typically concise, omitting context that might be relevant, but which an informed contemporary could be assumed to know.",0.48113207547169806,0.45714285714285713,0.48113207547169806
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
" = = = Early years = = = 
"," = = = Early years = =   Early years    = = early years == =  Later years:   early years, early teens, early twenties, early thirties, early forties, early fifties. Early years: Early years, later years, late twenties, mid-twenties, late teens. Early childhood: Early childhood, early 20s, early 30s.",0.09523809523809523,0.05,0.09523809523809523
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
" Most of what is known of Du Fu 's life comes from his poems . His paternal grandfather was Du Shenyan , a noted politician and poet during the reign of Empress Wu . Du Fu was born in 712 ; the exact birthplace is unknown , except that it was near Luoyang , Henan province ( Gong county is a favourite candidate ) . In later life , he considered himself to belong to the capital city of Chang 'an , ancestral hometown of the Du family . 
","Du Fu was born in 712; the exact birthplace is unknown. His paternal grandfather was Du Shenyan, a noted politician and poet during the reign of Empress Wu. In later life, he considered himself to belong to the capital city of Chang 'an, ancestral hometown of the Du family.",0.7777777777777778,0.7419354838709677,0.6349206349206349
" Du Fu 's mother died shortly after he was born , and he was partially raised by his aunt . He had an elder brother , who died young . He also had three half brothers and one half sister , to whom he frequently refers in his poems , although he never mentions his stepmother . 
","Du Fu's mother died shortly after he was born, and he was partially raised by his aunt. He had an elder brother, who died young. He also had three half brothers and one half sister, to whom he frequently refers in his poems, although he never mentions his stepmother.",1.0,1.0,1.0
" The son of a minor scholar @-@ official , his youth was spent on the standard education of a future civil servant : study and memorisation of the Confucian classics of philosophy , history and poetry . He later claimed to have produced creditable poems by his early teens , but these have been lost . 
","The son of a minor scholar @-@ official, his youth was spent on the standard education of a future civil servant. He later claimed to have produced creditable poems by his early teens, but these have been lost.  He is now the author of a book on the history of China.",0.8282828282828283,0.7216494845360826,0.7474747474747474
" In the early 730s , he travelled in the Jiangsu / Zhejiang area ; his earliest surviving poem , describing a poetry contest , is thought to date from the end of this period , around 735 . In that year , he took the civil service exam , likely in Chang 'an . He failed , to his surprise and that of centuries of later critics . Hung concludes that he probably failed because his prose style at the time was too dense and obscure , while Chou suggests his failure to cultivate connections in the capital may have been to blame . After this failure , he went back to traveling , this time around Shandong and Hebei . 
","In the early 730s, he travelled in the Jiangsu / Zhejiang area. His earliest surviving poem is thought to date from the end of this period, around 735. In that year, he took the civil service exam, likely in Chang 'an. He failed, to his surprise and that of centuries of later critics.",0.6666666666666666,0.6493506493506495,0.6666666666666666
" His father died around 740 . Du Fu would have been allowed to enter the civil service because of his father 's rank , but he is thought to have given up the privilege in favour of one of his half brothers . He spent the next four years living in the Luoyang area , fulfilling his duties in domestic affairs . 
","Du Fu would have been allowed to enter the civil service because of his father's rank, but he is thought to have given up the privilege in favour of one of his half brothers. He spent the next four years living in the Luoyang area, fulfilling his duties in domestic affairs.",0.9541284403669724,0.9532710280373832,0.9541284403669724
" In the autumn of 744 , he met Li Bai ( Li Po ) for the first time , and the two poets formed a friendship . David Young describes this as "" the most significant formative element in Du Fu 's artistic development "" because it gave him a living example of the reclusive poet @-@ scholar life to which he was attracted after his failure in the civil service exam . The relationship was somewhat one @-@ sided , however . Du Fu was by some years the younger , while Li Bai was already a poetic star . We have twelve poems to or about Li Bai from the younger poet , but only one in the other direction . They met again only once , in 745 . 
","In the autumn of 744, he met Li Bai ( Li Po ) for the first time, and the two poets formed a friendship. David Young describes this as "" the most significant formative element in Du Fu's artistic development "" because it gave him a living example of the reclusive poet life to which he was attracted.",0.650887573964497,0.6347305389221557,0.650887573964497
" In 746 , he moved to the capital in an attempt to resurrect his official career . He took the civil service exam a second time during the following year , but all the candidates were failed by the prime minister ( apparently in order to prevent the emergence of possible rivals ) . He never again attempted the examinations , instead petitioning the emperor directly in 751 , 754 and probably again in 755 . He married around 752 , and by 757 the couple had had five children — three sons and two daughters — but one of the sons died in infancy in 755 . From 754 he began to have lung problems ( probably asthma ) , the first of a series of ailments which dogged him for the rest of his life . It was in that year that Du Fu was forced to move his family due to the turmoil of a famine brought about by massive floods in the region . 
","In 746 he moved to the capital in an attempt to resurrect his official career. He took the civil service exam a second time during the following year but all the candidates were failed by the prime minister. He never again attempted the examinations, instead petitioning the emperor directly in 751, 754 and probably again in 755.",0.5507246376811594,0.5365853658536586,0.5507246376811594
" In 755 , he received an appointment as Registrar of the Right Commandant 's office of the Crown Prince 's Palace . Although this was a minor post , in normal times it would have been at least the start of an official career . Even before he had begun work , however , the position was swept away by events . 
","In 755, he received an appointment as Registrar of the Right Commandant's office of the Crown Prince's Palace. Although this was a minor post, in normal times it would have been at least the start of an official career. Even before he had begun work, however, the position was swept away by events.",1.0,1.0,1.0
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
" = = = War = = = 
",= = = War = = =                            “War’s in full swing.”  ‘War is in full force.’ ‘The enemy is on the move.‘‘Theenemy is on its way’. ‘“The enemy’ is moving in on the enemy.“’” �,0.06451612903225806,0.0,0.06451612903225806
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
" The An Lushan Rebellion began in December 755 , and was not completely suppressed for almost eight years . It caused enormous disruption to Chinese society : the census of 754 recorded 52 @.@ 9 million people , but ten years later , the census counted just 16 @.@ 9 million , the remainder having been displaced or killed . During this time , Du Fu led a largely itinerant life unsettled by wars , associated famines and imperial displeasure . This period of unhappiness was the making of Du Fu as a poet : Even Shan Chou has written that , "" What he saw around him — the lives of his family , neighbors , and strangers – what he heard , and what he hoped for or feared from the progress of various campaigns — these became the enduring themes of his poetry "" . Even when he learned of the death of his youngest child , he turned to the suffering of others in his poetry instead of dwelling upon his own misfortunes . Du Fu wrote : 
","The An Lushan Rebellion began in December 755, and was not completely suppressed for almost eight years. It caused enormous disruption to Chinese society : the census of 754 recorded 52 @.@ 9 million people, but ten years later, the census counted just 16 @. @ 9 million.",0.44000000000000006,0.43434343434343436,0.44000000000000006
" Brooding on what I have lived through , if even I know such suffering , the common man must surely be rattled by the winds . 
","""If even I know such suffering, the common man must surely be rattled by the winds,"" he writes. ""Brooding on what I have lived through,"" he adds. ""The common man must surely be rattled by the winds.  I am haunted by the wind""",0.6969696969696969,0.65625,0.5151515151515151
" In 756 , Emperor Xuanzong was forced to flee the capital and abdicate . Du Fu , who had been away from the city , took his family to a place of safety and attempted to join the court of the new emperor ( Suzong ) , but he was captured by the rebels and taken to Chang 'an . In the autumn , his youngest son , Du Zongwu ( Baby Bear ) , was born . Around this time Du Fu is thought to have contracted malaria . 
",In 756 Emperor Xuanzong was forced to flee the capital and abdicate. Du Fu took his family to a place of safety and attempted to join the court of the new emperor. He was captured by the rebels and taken to Chang 'an. Around this time Du Fu is thought to have contracted malaria.,0.8372093023255813,0.7874015748031497,0.8372093023255813
" He escaped from Chang 'an the following year , and was appointed Reminder when he rejoined the court in May 757 . This post gave access to the emperor but was largely ceremonial . Du Fu 's conscientiousness compelled him to try to make use of it : he caused trouble for himself by protesting the removal of his friend and patron Fang Guan on a petty charge . He was arrested but was pardoned in June . He was granted leave to visit his family in September , but he soon rejoined the court and on December 8 , 757 , he returned to Chang 'an with the emperor following its recapture by government forces . However , his advice continued to be unappreciated , and in the summer of 758 he was demoted to a post as Commissioner of Education in Huazhou . The position was not to his taste : in one poem , he wrote : 
",Du Fu was appointed Reminder when he rejoined the court in May 757. This post gave access to the emperor but was largely ceremonial. Du Fu's conscientiousness compelled him to try to make use of it. He caused trouble for himself by protesting the removal of his friend and patron Fang Guan.,0.5177664974619289,0.5128205128205128,0.5177664974619289
" I am about to scream madly in the office / Especially when they bring more papers to pile higher on my desk . 
","""I am about to scream madly in the office / Especially when they bring more papers to pile higher on my desk.    I'm going to scream,"" she writes. ""I am going to yell madly,"" she adds. ""And I am going not to stop until I do""",0.626865671641791,0.6153846153846153,0.626865671641791
" He moved on in the summer of 759 ; this has traditionally been ascribed to famine , but Hung believes that frustration is a more likely reason . He next spent around six weeks in Qinzhou ( now Tianshui , Gansu province ) , where he wrote more than sixty poems . 
","Hung spent around six weeks in Qinzhou ( now Tianshui, Gansu province ) where he wrote more than sixty poems. He moved on in the summer of 759 ; this has traditionally been ascribed to famine, but Hung believes that frustration is a more likely reason.",0.9655172413793104,0.9411764705882352,0.5747126436781609
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
" = = = Chengdu = = = 
"," = = = Chengdu = =    Chengdu is a city in the province of Sichuan, China. Chengdu has a population of more than 100 million people. The city is known as the birthplace of the Communist Party of China (CPC) and the People's Liberation Army.",0.047619047619047616,0.0,0.047619047619047616
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
" In December 759 , he briefly stayed in Tonggu ( modern Gansu ) . He departed on December 24 for Chengdu ( Sichuan province ) , where he was hosted by local Prefect and fellow poet Pei Di . Du subsequently based himself in Sichuan for most of the next five years . By the autumn of that year he was in financial trouble , and sent poems begging help to various acquaintances . He was relieved by Yan Wu , a friend and former colleague who was appointed governor general at Chengdu . Despite his financial problems , this was one of the happiest and most peaceful periods of his life . Many of Du 's poems from this period are peaceful depictions of his life at "" thatched hut "" . In 762 , he left the city to escape a rebellion , but he returned in summer 764 when he was appointed an advisor to Yan , who was involved in campaigns against the Tibetan Empire . 
","In December 759, he briefly stayed in Tonggu ( modern Gansu ) He departed on December 24 for Chengdu ( Sichuan province ), where he was hosted by local Prefect and fellow poet Pei Di. Du subsequently based himself in Sichu for most of the next five years.",0.44791666666666663,0.431578947368421,0.44791666666666663
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
" = = = Last years = = = 
"," = = = Last year: 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 11th, 12th, 13th, 14th, 15th, 16th, 17th, 18th, 19th.",0.17391304347826084,0.09523809523809523,0.17391304347826084
,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of the U.S. for next week. Visit CNN.com/Travel next Friday for a new gallery of snapshots from around the world. Please share your best photos of the world with CNN iReport.,0.0,0.0,0.0
" Luoyang , the region of his birthplace , was recovered by government forces in the winter of 762 , and in the spring of 765 Du Fu and his family sailed down the Yangtze , apparently with the intention of making their way there . They traveled slowly , held up by his ill @-@ health ( by this time he was suffering from poor eyesight , deafness and general old age in addition to his previous ailments ) . They stayed in Kuizhou ( in what is now Baidicheng , Chongqing ) at the entrance to the Three Gorges for almost two years from late spring 766 . This period was Du Fu 's last great poetic flowering , and here he wrote 400 poems in his dense , late style . In autumn 766 , Bo Maolin became governor of the region : he supported Du Fu financially and employed him as his unofficial secretary . 
","Du Fu and his family sailed down the Yangtze in the spring of 765. They traveled slowly, held up by his ill @-@ health ( by this time he was suffering from poor eyesight, deafness and general old age in addition to his previous ailments ) They stayed in Kuizhou ( in)",0.518918918918919,0.4918032786885246,0.48648648648648646
" In March 768 , he began his journey again and got as far as Hunan province , where he died in Tanzhou ( now Changsha ) in November or December 770 , in his 58th year . He was survived by his wife and two sons , who remained in the area for some years at least . His last known descendant is a grandson who requested a grave inscription for the poet from Yuan Zhen in 813 . 
","The poet died in November or December 770, in his 58th year. He was survived by his wife and two sons. His last known descendant is a grandson who requested a grave inscription for the poet from Yuan Zhen in 813.  The poet is buried in a tomb in Changsha, China.",0.7107438016528925,0.6218487394957984,0.6446280991735537
